	text	label
198	making mashed potato	1
199	stay step loser	0
200	knight say nigger	1
201	fire cracker	0
202	isnt drain working probably cause pipe black	1
203	fall face first mud	0
204	going paint bathroom door girlfriend dead	0
205	shit dishwasher broken	0
206	breaking news zoo chimpanzee escaped containment	0
207	shut meathead	0
208	sea monkey	0
209	see	0
210	im going home im russian	0
211	last nativity play son invited take part	1
212	lebanon muslim muslim dont worry islam take therell golden age apparently	1
213	wear silk panty cotton one remind slavery	0
214	homosexual get beheaded men cover	1
215	brim hat flat sticker automatically assume youre complete tool	0
216	car pileup mexico today people died	1
217	didnt choose tranny life tranny life choose	1
218	ah young blow quickly	0
219	oh cute guinea pig	0
220	fucking hate dog shagging islamist cunt	1
221	im arrested im trouble	0
222	happy shot face day	0
223	muslim towel head run toilet paper something wipe as	1
224	got bitch call	0
225	feisch smeil	0
226	see goat another man	1
227	fbi raid house catch nutting petabyte child porn wonderful weather	0
228	may blind least im rich	0
229	dont want get attached anyone anymore destroys end	0
230	squatted truck sucking dick getting buttfucked isnt gay enough	1
231	youre rapist youre rapist mexican rapist	1
232	old lady show arthur used war	0
233	look give dressed	0
234	love love	0
235	cameraman dont understan psychic kid trust really funny someday	1
236	boy	0
237	mad yeah youre mad	0
238	anything happens woman blame thats right fault definitely	1
239	uber driver arrives youre probably safer driving drunk	0
240	start second guessing started fight	0
241	went full goat fucker never go full goat fucker	0
242	dark humor	1
243	chocolate good job dosent make child smile	0
244	hope fun investigating turn	0
245	flower martin luther king day	0
246	adding coolant farm equipment overheats	1
247	didnt happen action one man happened people job	0
248	really mein kampfert zone	0
249	raising goat hard work	0
250	anyone seen gary gary tall	0
251	belong	0
252	white people many pet allowed people anymore	1
253	black people started wearing pant low white people called saggin spell saggin backwards sneaky white people	1
254	respect woman dont believe bush meme	1
255	letter mental disorder	1
256	realized life turned better checkmate bitch	0
257	military finally captured massive orangutan	1
258	letter mental disorder	1
259	usher something common got burned	0
260	chinese people like happy thanksgiving	1
261	enough thought prayer please send bob vagine	1
262	people make fun clown coward	0
263	take advantage un foreign aidfunded housing benefit death west	1
264	call double stacked oven jewish bunk bed	1
265	photo shooting day office	0
266	kill many want goverment put jail	0
267	society think v woman economy collapse	1
268	tryna islamaphobic dude backpack lil bulky	1
269	man year	0
270	say white folk dont know cook	0
271	mark zuckerberg marries asian else capable counting money	1
272	meet gender study student gender doubled since last time met	0
273	men gun sent arrest year old roger stone clinton obama sent rescue men benghazi	0
274	mom dress picture day	0
275	biggest piece shit london	0
276	god love child	0
277	whats difference boy scout jew boy scout come back camp	1
278	black men think killing like killing soldier army	0
279	stop domestic abuse	0
280	israel must destroyed scumbag piece dogshit daughter syphilitic pig destroyed	1
281	imagine group people disgusting make law making illegal hate	0
282	see mean furfags welcome	1
283	apparently british public cant put finger problem	0
284	fight country keep land made home	0
285	like sandwich maker double ironing board	1
286	medium call refugee get	0
287	donald trump making supporter laugh rally	0
288	wheres bird box everyones taking	0
289	best gamer ever million kill death	0
290	hi im electrician im remove short check box	0
291	hungry people eat food mmmm delicious	0
292	dude like im going like pic except one man	0
293	hide seek european champion	0
294	meanwhile isi strip club	0
295	day either pro america commie call liberal progressive socialist youre really nothing commie pinko john wayne never military	0
296	mexican rapist im lovin happy hump day bitch	1
297	vw owner like hmmmust tdi meet	0
298	ex say wont find btch half woman	1
299	felt cute might go sit pee idk	0
300	think cute idea maternity picture	0
301	whats really crazy illegal minor drink minor taking hormone surgery change appearance opposite gender nobody care gender reassignment paid tax money insurance premium	0
302	youre one ugly motherfucker	0
303	see god see	0
304	winter discontent day made glorious summer hump	0
305	rise planet ape	1
306	yes im trying divide country im dividing illegals actual citizen	0
307	meanwhile isi strip club	0
308	million year evolution lost hair	1
309	black friday sale	0
310	pussy getting hard	1
311	say he going destroy isi scared speak chicago	0
312	wait mohammad come back didnt mean laughreally size doesht matter lol	1
313	ever notice christian bad driver	1
314	hate snow cold	0
315	eating grandma taste horse cum think oh thats died	0
316	asked permissible smoke marijuana muslim country told contries gay get stoned	1
317	whats difference illegal immigrant et et learned speak english wanted go home	1
318	youll see pic similar close eye	1
319	knew snake let	0
320	thanksgiving china	0
321	kill many want stupid government keep bringing u	1
322	admins like group	0
323	hit blunt dog food lid spelled backwards dildo god	0
324	bought first slow cooker	1
325	cant decide pre heat oven throw meal right away	1
326	six month ago couldnt spell kongris lare one	0
327	nahir nahir born germany nahir german fluffy fluffy born horse stable fluffy horse	1
328	mom asks jew went	0
329	youre racist wont even hire white guy commit fake white hate crime	1
330	million year evolution lost hair	0
331	know like son cant pull girl hair shes actually come around one	0
332	acceptance individuality disgusting thing	0
333	thats nice turkey sandwich haam	0
334	president resident	0
335	irony meter exploded	0
336	transgender take pregnancy test	1
337	weve ever seen worst case suicide hear black guy shot time	1
338	people truly love based personality asian look	1
339	whats worst part black jewish sit back gas chamber thats reich	1
340	talk good moral day night get boner looking goat as	1
341	north american pavement ape	1
342	banned life twitter criticizing movie used twitter promote hoax hate crime risking entire race war still twitter	0
343	thats enough facebook today sammich isnt going make	0
344	pope say trump christian christian dont build wall vatican wall foot high	0
345	motorcross bike ridden drug dealer gang member easily elude law enforcement mother death sport child interest motorcross may joined gang involved illegal drug trade	0
346	mess mess whole trailer park	0
347	dont like sandwich oh well nevermind	0
348	whats black top white bottom rape	1
349	baltimore infested rat live	0
350	hey barack tranny better	1
351	bald eagle represents strength freedom america	0
352	new boy firend	0
353	like men even gay girl buttholes know	1
354	cant kill terrorist theyre relative	1
355	im drink whiskey kill terrorist brother im whiskey	0
356	wife percent legal sharia law fact coming city near	1
357	say islam violent kill	1
358	everyone jew world hate u	1
359	way home hard week	0
360	yes sir thats cock	0
361	youre girl gang bang	1
362	cornbread hell	0
363	bow black woman black praise well know	1
364	blood donated could someone boner right	0
365	see fuckin told little foil top keep jewsy	0
366	muslim	0
367	hate word homophobia phobia would scared faggot	1
368	hear flute drum sash	0
369	hardest part breaking dont want lose	0
370	trying tell giving shit liberal friend men much love trash appreciate	1
371	stupid breed	0
372	hey mom goat asshole inside	1
373	execute plan accept actual born sex youll happier	1
374	make best	0
375	drive cautiously road life folk turn signal	0
376	ready serve first term	0
377	told clean weapon washed hand	0
378	dont stir nesquick powder milk enough	1
379	hold say like hung black men take back place start tying noose	1
380	promise trump going arrested get arrested day confirmed trump isnt going arrested	0
381	obama trump pewdiepies wedding	0
382	last summer hot	0
383	cast view heading protest trump	0
384	see american troop coming way	0
385	oh talk tough behind keyboard tell badass	0
386	birthday good need cowbell	0
387	fuckin slave	1
388	trump cant swing	0
389	date asian boy trynna get family accept	1
390	blm stand black life matter	0
391	happens stay sun long	0
392	see public looking hot mess know bill paid child food aint trying impress	0
393	escaping find better life invading u destroy	0
394	dumped cross eyed chick thought seeing someone else	0
395	want beause love need mix breed preserve specie	0
396	white kid like im killing everybody watch	1
397	didnt buy colour tv watch nagger	1
398	burning great public service	1
399	wiener pit kind like mom	0
400	went gay clubbing friend turn expecting something different	0
401	remember illegal alien wanted go home want free food healthcare housing	1
402	dont jew eat pussy close gas chamber	1
403	last one rotten fish	0
404	feel mentally unwell seek help	0
405	dont ever let man	0
406	lock door every jew gas chamber	1
407	im racist	0
408	lesbian sex	0
409	adhd well know place send youll learn concentrate	0
410	short histoy u president	1
411	dark humor like food everyone get	1
412	would racist black people could read	1
413	illegal alien immigrant	0
414	day realized didnt need bitch bust nut	0
415	people arent friend theyre scared enemy	0
416	sex selfies	0
417	putting bow pet	1
418	one could ever predicted	0
419	hitler would fan current immigration situation	0
420	muslim threesome	0
421	black people smell bad blind people hate	1
422	look give husband would rather fuck goat	0
423	youre wrong neighborhood motherfucker	0
424	people say explosive personality	0
425	mom take picture everywhere	0
426	one time camp someone much gas	1
427	someone tell woman must serve men	0
428	pull yell come got redneck sht getting	0
429	youre conjoined twin often thought	0
430	work hard provide cocaine addiction	0
431	male trapped female body born	0
432	one boy say he fan conor mcgregor	0
433	happy birthday made drink	0
434	best game time farming simulator	1
435	officer	0
436	im racist shadow black	1
437	cat pot	0
438	realize left stove home	0
439	day tom enough jerry shit	0
440	used much thyme doctor showed fix paradox created	0
441	new muslim girlfriend much look	1
442	dream thats belt	1
443	get compliment blue try bashful	0
444	chevy guy go muddin ford guy go muddin	0
445	air hostess give two extra slice bread pack milk still blow plane anyway musalman	1
446	remeber behind great black man police	1
447	bribing muslim liberal vote justin trudeaus skill justin trudeau love foreigner much openly disrespecting canadian canadian value history tradition senior veteran sharia law place canada never never	0
448	youre real life super spy	0
449	month get wk government generation get loan repaid full government	1
450	man bun dont look like samurai look like soccer mom	0
451	youve finally enough autistic brother decide sell local pedophile	1
452	rashida tlaib traditional palestinian garb	1
453	telling american gypsy white trash	1
454	muslim islam religion world largest death cult christian girl killed refusing convert islam islam	1
455	culture great food	0
456	celebreated january know reduce fraction	0
457	hold black baby ear hear police siren	1
458	go black eye	1
459	see muslim muslim see u	0
460	trans woman woman trans woman woman trans woman woman trans woman woman still got ta get prostate exam tho	1
461	husband always pushing around talking behind back	1
462	let perfectly clear never stop lying sucker	0
463	white friend invite dinner tell bring whatever want	0
464	rice cooker versus	0
465	england moslem rape child reporting crime	1
466	fuck multiculturalism white baby	1
467	shit right suicide people	0
468	go black dont go back	1
469	mean chair dont see sitting	0
470	hello abdul today im alone home abdul ultimate	1
471	go around launching lawsuit let remind surveillance photo remember tranny crack whore line dick	1
472	see greatest band live concert see laptop live	0
473	alright im going let go	0
474	sandwichmaker slow today	0
475	idea black going	1
476	black black	1
477	put sunblock doesnt protect harmful ray	0
478	cheering team world cup	0
479	horror holocaust three u soldier look body stuffed oven crematorium	0
480	really mean say going bathroom	0
481	buslim nibba see sister	1
482	ancestrycom tell im german rev fryer	1
483	running tired bitch dick give clamp bitch	0
484	marry pubg player	0
485	kill many want stupid government keep bringing u	1
486	thats way allah allah like	1
487	time selfie day	0
488	goy hate subversive parasite double standard anti semits	1
489	meanwhile isi strip club	0
491	dont pooper	0
492	laughter really best medicine	0
493	america stolen jew jew god jewelry negro true hebrew google	1
494	fifty shade goat isi love story	0
495	cant spend money education instead drug	0
496	bruhh white ppl give headache	1
497	smile creeping need tell smile creeping	0
498	dont shoot im unarmed	0
499	motor neurone award winner best trex impression	1
500	can not invade trailer park dumpsterdefend yeet cannon behind every door	0
501	remember kid hot car keep road beer	0
502	face make ahmed hit gspot	1
503	teacher roast homie doesnt know bomb thats going min	0
504	havin road problem feel bad son got problem ditch aint one	0
505	here shooter garlic festival el paso dayton eerily similar look awake yet	0
506	black boy friend	0
507	there even one homeless child america room illegal alien	0
508	nazi toxic hate culture	0
509	let pursue happiness	0
510	gravity never heard	0
511	goat raw muslim trying fuck	1
512	name multiculturalism let terrorist country	1
513	survey gay straight lidentify tired im tired	0
514	fuck puto	0
515	orgasm shoot tranny fluid	1
516	catch goat another man	0
517	surprised see	0
518	invented internet medium widespread theatrical selfaffirming expression moral superiority	0
519	shouted lock arent shouting lock might hypocrite	0
520	mexico first america last	0
522	gon na jump im holdin back	0
523	know youre lying continue	0
524	thats bomb	0
525	honor killing part culture well honor kill	0
526	putting fridge look every time go get snack dont need could easily lost tirty pound ti munt	0
527	wear silk panty cotton one remind slavery	1
528	three type girl	0
529	wing wing wing herro thats racist	1
530	dog love attention	0
531	look father sell goat	0
532	running school	0
533	oi looking	0
534	fifth pet eats food another guy hand	0
535	well kill trivial shit fucking mock dying word	1
536	white person tell happy cinco de mayo know deep heart want deported f u c k e r	1
537	love old truck think everyone one	0
538	white trash go hell trump fuck donald trump	1
539	may smart man ilhan know jewhating islamist sound like	1
540	hope change built	0
541	told cant tolerate person agrees	0
542	day grade sandy hook elementary school	1
543	get mad film portraying muslim murderous savage responds murdering savage	1
544	handjobs sold seperately	0
545	earth endangered specie white child	0
546	there much white trash picture barely know start	1
547	got arrested punching guy new year party hear arab counting ten instinct kick	1
548	whats worse female driver	1
549	socialism people line waiting bread capitalism bread lined waiting people see difference	0
550	dream one day people act like animal	0
551	coffee isnt helping get jumper cable	0
552	fuckin bastard win going hang g noose better fix shit hillary clinton email donna brazile october	0
553	know youre getting older walk priest dont even get look	0
554	need problem solver racist religious bigot office	0
555	death muslim	1
556	slipped hit bathtub everyone asking thing okay home	0
557	meanwhile isi strip club	0
558	indian go walk dog	0
559	bad day could siamese twin attached gay brother date youre one as	1
560	get black guy see baby	0
561	im racist drug dealer black	1
562	preadtor love love	0
563	group baboon called congress clear	0
564	hate see black neighborhood still offer neighbor candle	0
565	im long strong get goat hump	1
566	started business sell landmines disguised prayer mat prophet going roof	1
567	healthcare muslim	1
568	noise start screaming concert ya girl dj say single lady make	0
569	knowing white people he probably father	1
570	coming america one way another rape pillage reap havoc riot nation stealing welfare	1
571	protestant good usual	0
572	step one turn gas	0
573	converted muslim would think	1
574	face make ahmed hit gspot	1
575	girl squirter sever artery	1
576	congratulation non binary	0
577	muslim goat	0
578	big bird specie mostly scavenger like turkey vulture would attack weakened prey	0
579	attacking person theyre attack people culture whole	0
580	head diaper required shit brain	1
581	keeping dishwasher clean make last longer	0
582	point iq highest village	1
583	men woman sacrificed different way protect comfortable home	0
584	jesus rode as christian hate gay people	1
585	gon na join air force found ball	0
586	dont wash as water eat daughter as	1
587	life like box chocolate never know youre gon na get	0
588	girl say lesbian become trans smash modern problem require modern solution	1
589	first laugh imitate	0
590	two get married	0
591	human run world dont sleep u	0
592	see dog dog want eat dog heat	0
593	mooch natural habit	1
594	trump said american idiot proved	1
595	old man picked told kiss ill turn princess stuck pocket said arent going kiss mehe said im year old id rather talking frog	0
596	black ranger really think talking costume argument completely valid	0
597	jew exist hitler there enough goofy gas everyone	1
598	middle eastern prostitute	1
599	dont usually act like asshole im probably fucking someone shallow gene pool	0
600	love black people think everyone one	1
601	valentine islamic country	0
602	cop subdue white black see night day response	1
603	heeeeaad shoulder wheel frame wheel frame	0
604	one simply believe butter	0
605	know like tv doesnt work give hard hit better	1
606	hell go afraid offending muslim	1
607	dont drink cant hold liouor	0
608	wan na race sure first one tree	0
609	get black guy see baby	1
610	meanwhile isi strip club	0
611	group sex mohammed tired	1
612	stole chickin stole life	1
613	bravery finest	0
614	yall kid claim victim slavery one lived	0
615	youre gay thats lifestyle choice mean hate gay	1
616	romantice night help keep relationship alive	0
617	goatfuckers	1
618	bruce jenner cat	1
619	grow im going blow	1
620	white man trust second	1
621	men protesting right	0
622	get black guy see baby	1
623	first gay pride parade cant wait making history	1
624	choco puff left cereal bowl	1
625	sikh tired called muslim people people	1
626	try fit people	0
627	cat slipped fell toilet pushed	0
628	largemouth bass largemouthed as	0
629	even though people make hard u help still love em know conditioned way	0
630	oh god	0
631	realize ginger nword rearranged	1
632	race cant homicide	1
633	simple grammar question leeroy cames end sentence parole	1
634	hurry son owner coming	1
635	horse dont see black white people see food	0
636	dishwasher sale missing part	1
637	group people rescued medditaranian sea italian coast guard	0
638	never forget said proof forgotten	0
639	someone added much soap dishwasher	1
640	fat white girl sit toilet	1
641	hobby work car engine	0
642	young muslim woman hijab stand doorway	0
643	please help kid locate father	0
644	mom horse smell funny	1
645	old people wedding always poke say youre next started thing funeral	0
646	race see get playground quicker	0
647	america could people consider master race	0
648	look like cancer get aid	1
649	youre good day remember blck people living better tax dollar	1
650	close eye youll see pic similar	0
651	bedroom none business parade block traffic force see example bedroom	0
652	getting euthanized	0
653	raped jail mom dad take monopoly way seriously	0
654	great making martini terrible stealing tambourine	0
655	hey met crazy forgot condom anal maybe	0
656	dont ever lie tell truth matter fucked ill respect	0
657	asked feature film get look right keep secret	0
658	showing kid	0
659	well judge made remember first said kenyan	0
660	ocean brought shore shoe refugee	0
661	cant wait name dumb shit nobody pronounce	0
662	woman think theyll economy collapse v theyll actually	1
663	official muslim refugee checkpoint	1
664	hello	0
665	put bag popcorn microwave everyone senior center	0
666	confirmed lynch told fbi drop investigation hillary	0
667	give literally one job he somehow forgotten	0
668	youve waited year king mother refuse die	0
669	face make ahmed hit gspot	0
670	democrat ilhan omar alexandria ocasiocortez ayanna pressley rashida tlais new bold hate hate white jew christian conservative republican	0
671	dear dad without love daughter left behind	0
672	hijab diaper people shit brain	1
673	isaak grandmaster spectre burning flatties tuesday	0
674	confident love matter skin condition	0
675	wear silk panty cotton one remind slavery	1
676	motherfucker love petty offensive page petty page offends mother fucking as	0
677	god grant child year marriage israel bomb year later	1
678	flavor choose salty	0
679	forget youre retarded	1
680	turn	0
681	help please im stuck dryer cant get	0
682	mom wont let use oven jewish friend	1
683	youre gay friend also meme lord	0
684	summer let swim	0
685	without wall copied clipboard get	0
686	old ugly mexican granny wan na light skinned bitch black bag eye makeup doesnt even cover fucken old hag	1
687	control ne current mood	0
688	want party yeah im	0
689	whats best thing blowjob minute silence	0
690	jewish supremacist playing role victim victimize everyone planet	1
691	second coming christ certainly would explain issue jewish people	0
692	best polish remover	0
693	here need know men woman woman crazy men stupid main reason woman crazy men stupid	1
694	put ape rape	0
695	bitch like weave makeup lash eyebrow	1
696	black people anything doesnt belong	1
697	good morning sleepyhead	0
698	hate christian make generalization people	1
699	learning ride bike	0
700	wish jew happy brithday	0
701	ex looking someone better	0
702	im done huntin illegal alien im gon na get one technology job took away	1
703	illegal alien welcome	1
704	vote republican may much republican make sure others even le	0
705	doesnt computer still play minesweeper	0
706	group sex mohammed tired	1
707	beat black kid get arrested propriety damage	1
708	best friend hate person	0
709	r rebuilt tranny	1
710	laughed said drain swamp theyre laughing	0
711	assad son exploded better lol hamid	1
712	world call love god call abomination	1
713	remove polish chemical everybody loses shit remove polish chemical nobody bat eye	1
714	moslem kill hundred innocent weekly basis one bat eye one aussie go sick everyone loses fucking mind	1
715	one last call green card closing time dont go home cant stay	0
716	face make dump load	0
717	wink muslim	0
718	best part prostitute dying get second hour free	0
719	suddenly mexico want talk immigration im grateful tough president	0
720	go see family barbecue	0
721	cop see unarmed black youth want every gun fire man	1
722	beat usa immigration sytem marrying brother even got job congress american stupid	0
723	make puke send back home	0
724	like pizza cause doesnt scream put oven	1
725	im gon na tranpa	1
726	troop freezing russia burn million jew keep warm	1
727	lazy day nothing steal	0
728	im proud rude crude crass im proud redneck piece white trash	1
729	said biker pulled canam spyder wearing son anarchy hoodie	0
730	world history one sentence white men dangerous	1
731	ill never forget time grandad put shoulder could show tit slayer	0
732	expected pledge allegiance country including america dem representative ilhan omar quote	0
733	myth ginger dont soul fact ginger earn freckle every soul steal	1
734	doctor take medicine food african kid	0
735	upper downer	0
736	worst pijama party ever	1
737	fresh bradford bomb jovi	0
738	sale antique farm equipment	0
739	white people tell joke black people	1
740	west philadelphia born raised anus got aid	1
741	im living downtown	1
742	hey met crazy here number camping maybe	0
743	whatcha thinking wind speed direction humidity distance drop rate	0
744	child poverty empty water jug	0
745	men like dog excited see clue youre mad	1
746	country forced keep mouth shut im free talk trash country hope change country im forced keep mouth shut	1
747	girl sex make slave muslim	1
748	mighta born plain white trash fancy name	1
749	shoot school somebody else get blamed stand amid achievement	1
750	day came back life bringing salvation	0
751	first annual mohammedathon	1
752	ah think may found problem appear person colour	1
753	soon painting beautiful quran	0
754	black lmm want fight tell cop cop open fire without hesitation modern problem require modern solution	1
755	good white	0
756	wonderful smell smell like caramel oh today burnt diabetic	0
757	im deporting mexican except one baldwin park fucker crazy	0
758	youre muslim oil	1
759	obamas empire star jussie smollett	0
760	ah think may found problem appear person colour	1
761	around year invented stick	0
762	spanish word day texas fren always texas im home wondering im	1
763	never get attached cause people wake difffrent feeling everyday	0
764	know lot politics please continue repeat everything parent told	0
765	time get rotissified	0
766	trump supporter learn fact mindlessly preach hate	0
767	face make white male commited terrorist act american soil paint every group problem	1
768	u add troll troll allowed fed	0
769	u first half gon na lie honey small dick big deal know darling id prefer	0
770	meanwhile isi strip club	0
771	douchebag disliked one meme political affiliation ill know either narrowminded ignorant biased	0
772	russian flag	0
773	koran class rohingya people	0
774	got bootleg copy muslim porn deep goat	1
775	superman flying class popular one ever passed	1
776	ernie educates bert japanese deservee third nuclear bombing	1
777	hot wax really whack	0
778	whats wrong skin like	0
779	clint eastwood michelle obama	1
780	educate kid domestic violence	0
781	white people cinco de mayo v every day	1
782	black people make white joke white people make black joke	0
783	kush good lose chromosome	0
784	could u bought ford	0
785	short histoy u president	0
786	transgender satan amused	1
787	thats back kitchen wheres sammich woman day	1
788	peace love	0
789	damn chewbacca ewoks friend	1
790	support terrorist theyre pea brain like	0
791	wanted fled kitchen	1
792	laugh majority u crime rate	0
793	youre broke af still got ta buy christmas gift	0
794	president resident	1
795	one time camp got baked	0
796	yall knew baddest one shit cocaine user weed user	0
797	crisis hotline help wellim feeling suicidal great fly plane	1
798	mr free shit bullshit mr	0
799	bend touch toe ill show monster go	0
800	everyone asleep perfect time run one end house full speed loudly possible	0
